T,M,LW,LW_t,LW_h,T_k
49.49494949,4.595959596,NaN,NaN,#VALUE!,322.4949495
49.49494949,4.661616162,NaN,NaN,#VALUE!,322.4949495
49.49494949,4.727272727,NaN,NaN,#VALUE!,322.4949495
49.49494949,4.792929293,NaN,NaN,#VALUE!,322.4949495
49.49494949,4.858585859,NaN,NaN,#VALUE!,322.4949495
49.49494949,4.924242424,NaN,NaN,#VALUE!,322.4949495
49.49494949,4.98989899,NaN,NaN,#VALUE!,322.4949495
49.49494949,5.055555556,NaN,NaN,#VALUE!,322.4949495
49.49494949,5.121212121,NaN,NaN,#VALUE!,322.4949495
49.49494949,5.186868687,NaN,NaN,#VALUE!,322.4949495
49.49494949,5.252525253,NaN,NaN,#VALUE!,322.4949495
49.49494949,5.318181818,NaN,NaN,#VALUE!,322.4949495
49.49494949,5.383838384,NaN,NaN,#VALUE!,322.4949495
49.49494949,5.449494949,NaN,NaN,#VALUE!,322.4949495
49.49494949,5.515151515,NaN,NaN,#VALUE!,322.4949495
49.49494949,5.580808081,NaN,NaN,#VALUE!,322.4949495
49.49494949,5.646464646,NaN,NaN,#VALUE!,322.4949495
49.49494949,5.712121212,NaN,NaN,#VALUE!,322.4949495
49.49494949,5.777777778,NaN,NaN,#VALUE!,322.4949495
49.49494949,5.843434343,NaN,NaN,#VALUE!,322.4949495
49.49494949,5.909090909,NaN,NaN,#VALUE!,322.4949495
49.49494949,5.974747475,NaN,NaN,#VALUE!,322.4949495
49.49494949,6.04040404,NaN,NaN,#VALUE!,322.4949495
49.49494949,6.106060606,NaN,NaN,#VALUE!,322.4949495
49.49494949,6.171717172,NaN,NaN,#VALUE!,322.4949495
49.49494949,6.237373737,NaN,NaN,#VALUE!,322.4949495
49.49494949,6.303030303,NaN,NaN,#VALUE!,322.4949495
49.49494949,6.368686869,NaN,NaN,#VALUE!,322.4949495
49.49494949,6.434343434,NaN,NaN,#VALUE!,322.4949495
49.49494949,6.5,NaN,NaN,#VALUE!,322.4949495
48.98989899,0,0,3.303022889,3.303022889,321.989899
48.98989899,0.065656566,0.24,3.543022889,3.543022889,321.989899
48.98989899,0.131313131,0.47,3.773022889,3.773022889,321.989899
48.98989899,0.196969697,0.72,4.023022889,4.023022889,321.989899
48.98989899,0.262626263,0.97,4.273022889,4.273022889,321.989899
48.98989899,0.328282828,1.23,4.533022889,4.533022889,321.989899
48.98989899,0.393939394,1.49,4.793022889,4.793022889,321.989899
48.98989899,0.45959596,1.76,5.063022889,5.063022889,321.989899
48.98989899,0.525252525,2.03,5.333022889,5.333022889,321.989899
48.98989899,0.590909091,2.31,5.613022889,5.613022889,321.989899
48.98989899,0.656565657,2.59,5.893022889,5.893022889,321.989899
48.98989899,0.722222222,2.87,6.173022889,6.173022889,321.989899
48.98989899,0.787878788,3.16,6.463022889,6.463022889,321.989899
48.98989899,0.853535354,3.45,6.753022889,6.753022889,321.989899
48.98989899,0.919191919,3.74,7.043022889,7.043022889,321.989899
48.98989899,0.984848485,4.04,7.343022889,7.343022889,321.989899
48.98989899,1.050505051,4.33,7.633022889,7.633022889,321.989899
48.98989899,1.116161616,4.64,7.943022889,7.943022889,321.989899
48.98989899,1.181818182,4.94,8.243022889,8.243022889,321.989899
48.98989899,1.247474747,5.24,8.543022889,8.543022889,321.989899
48.98989899,1.313131313,5.54,8.843022889,8.843022889,321.989899
48.98989899,1.378787879,5.85,9.153022889,9.153022889,321.989899
48.98989899,1.444444444,6.15,9.453022889,9.453022889,321.989899
48.98989899,1.51010101,6.44,9.743022889,9.743022889,321.989899
48.98989899,1.575757576,6.73,10.03302289,10.03302289,321.989899
48.98989899,1.641414141,7.01,10.31302289,10.31302289,321.989899
48.98989899,1.707070707,7.29,10.59302289,10.59302289,321.989899
48.98989899,1.772727273,7.55,10.85302289,10.85302289,321.989899
48.98989899,1.838383838,7.79,11.09302289,11.09302289,321.989899
48.98989899,1.904040404,8.02,11.32302289,11.32302289,321.989899
48.98989899,1.96969697,8.22,11.52302289,11.52302289,321.989899
48.98989899,2.035353535,8.4,11.70302289,11.70302289,321.989899
48.98989899,2.101010101,8.54,11.84302289,11.84302289,321.989899
48.98989899,2.166666667,8.65,11.95302289,11.95302289,321.989899
48.98989899,2.232323232,8.72,12.02302289,12.02302289,321.989899
48.98989899,2.297979798,8.74,12.04302289,12.04302289,321.989899
48.98989899,2.363636364,8.7,12.00302289,12.00302289,321.989899
48.98989899,2.429292929,8.59,11.89302289,11.89302289,321.989899
48.98989899,2.494949495,8.42,11.72302289,11.72302289,321.989899
48.98989899,2.560606061,8.16,11.46302289,11.46302289,321.989899
48.98989899,2.626262626,7.8,11.10302289,11.10302289,321.989899
48.98989899,2.691919192,7.33,10.63302289,10.63302289,321.989899
48.98989899,2.757575758,6.75,10.05302289,10.05302289,321.989899
48.98989899,2.823232323,6.02,9.323022889,9.323022889,321.989899
48.98989899,2.888888889,5.13,8.433022889,8.433022889,321.989899
48.98989899,2.954545455,4.07,7.373022889,7.373022889,321.989899
48.98989899,3.02020202,2.81,6.113022889,6.113022889,321.989899
48.98989899,3.085858586,1.32,4.623022889,4.623022889,321.989899
48.98989899,3.151515152,-0.42,2.883022889,2.883022889,321.989899
48.98989899,3.217171717,-2.45,0.853022889,0.853022889,321.989899
48.98989899,3.282828283,-4.8,-1.496977111,-1.496977111,321.989899
48.98989899,3.348484848,NaN,NaN,#VALUE!,321.989899
48.98989899,3.414141414,NaN,NaN,#VALUE!,321.989899
48.98989899,3.47979798,NaN,NaN,#VALUE!,321.989899
48.98989899,3.545454545,NaN,NaN,#VALUE!,321.989899
48.98989899,3.611111111,NaN,NaN,#VALUE!,321.989899
48.98989899,3.676767677,NaN,NaN,#VALUE!,321.989899
48.98989899,3.742424242,NaN,NaN,#VALUE!,321.989899
48.98989899,3.808080808,NaN,NaN,#VALUE!,321.989899
48.98989899,3.873737374,NaN,NaN,#VALUE!,321.989899
48.98989899,3.939393939,NaN,NaN,#VALUE!,321.989899
48.98989899,4.005050505,NaN,NaN,#VALUE!,321.989899
48.98989899,4.070707071,NaN,NaN,#VALUE!,321.989899
48.98989899,4.136363636,NaN,NaN,#VALUE!,321.989899
48.98989899,4.202020202,NaN,NaN,#VALUE!,321.989899
48.98989899,4.267676768,NaN,NaN,#VALUE!,321.989899
48.98989899,4.333333333,NaN,NaN,#VALUE!,321.989899
48.98989899,4.398989899,NaN,NaN,#VALUE!,321.989899
48.98989899,4.464646465,NaN,NaN,#VALUE!,321.989899
48.98989899,4.53030303,NaN,NaN,#VALUE!,321.989899
48.98989899,4.595959596,NaN,NaN,#VALUE!,321.989899
48.98989899,4.661616162,NaN,NaN,#VALUE!,321.989899
48.98989899,4.727272727,NaN,NaN,#VALUE!,321.989899
48.98989899,4.792929293,NaN,NaN,#VALUE!,321.989899
48.98989899,4.858585859,NaN,NaN,#VALUE!,321.989899
48.98989899,4.924242424,NaN,NaN,#VALUE!,321.989899
48.98989899,4.98989899,NaN,NaN,#VALUE!,321.989899
48.98989899,5.055555556,NaN,NaN,#VALUE!,321.989899
48.98989899,5.121212121,NaN,NaN,#VALUE!,321.989899
48.98989899,5.186868687,NaN,NaN,#VALUE!,321.989899
48.98989899,5.252525253,NaN,NaN,#VALUE!,321.989899
48.98989899,5.318181818,NaN,NaN,#VALUE!,321.989899
48.98989899,5.383838384,NaN,NaN,#VALUE!,321.989899
48.98989899,5.449494949,NaN,NaN,#VALUE!,321.989899
48.98989899,5.515151515,NaN,NaN,#VALUE!,321.989899
48.98989899,5.580808081,NaN,NaN,#VALUE!,321.989899
48.98989899,5.646464646,NaN,NaN,#VALUE!,321.989899
48.98989899,5.712121212,NaN,NaN,#VALUE!,321.989899
48.98989899,5.777777778,NaN,NaN,#VALUE!,321.989899
48.98989899,5.843434343,NaN,NaN,#VALUE!,321.989899
48.98989899,5.909090909,NaN,NaN,#VALUE!,321.989899
48.98989899,5.974747475,NaN,NaN,#VALUE!,321.989899
48.98989899,6.04040404,NaN,NaN,#VALUE!,321.989899
48.98989899,6.106060606,NaN,NaN,#VALUE!,321.989899
48.98989899,6.171717172,NaN,NaN,#VALUE!,321.989899
48.98989899,6.237373737,NaN,NaN,#VALUE!,321.989899
48.98989899,6.303030303,NaN,NaN,#VALUE!,321.989899
48.98989899,6.368686869,NaN,NaN,#VALUE!,321.989899
48.98989899,6.434343434,NaN,NaN,#VALUE!,321.989899
48.98989899,6.5,NaN,NaN,#VALUE!,321.989899
48.48484848,0,0,3.15266935,3.15266935,321.4848485
48.48484848,0.065656566,0.24,3.39266935,3.39266935,321.4848485
48.48484848,0.131313131,0.47,3.62266935,3.62266935,321.4848485
48.48484848,0.196969697,0.71,3.86266935,3.86266935,321.4848485
48.48484848,0.262626263,0.97,4.12266935,4.12266935,321.4848485
48.48484848,0.328282828,1.23,4.38266935,4.38266935,321.4848485
48.48484848,0.393939394,1.49,4.64266935,4.64266935,321.4848485
48.48484848,0.45959596,1.76,4.91266935,4.91266935,321.4848485
48.48484848,0.525252525,2.03,5.18266935,5.18266935,321.4848485
48.48484848,0.590909091,2.3,5.45266935,5.45266935,321.4848485
48.48484848,0.656565657,2.58,5.73266935,5.73266935,321.4848485
48.48484848,0.722222222,2.86,6.01266935,6.01266935,321.4848485
48.48484848,0.787878788,3.15,6.30266935,6.30266935,321.4848485
48.48484848,0.853535354,3.44,6.59266935,6.59266935,321.4848485
48.48484848,0.919191919,3.73,6.88266935,6.88266935,321.4848485
48.48484848,0.984848485,4.03,7.18266935,7.18266935,321.4848485
48.48484848,1.050505051,4.32,7.47266935,7.47266935,321.4848485
48.48484848,1.116161616,4.62,7.77266935,7.77266935,321.4848485
48.48484848,1.181818182,4.93,8.08266935,8.08266935,321.4848485
48.48484848,1.247474747,5.23,8.38266935,8.38266935,321.4848485
48.48484848,1.313131313,5.53,8.68266935,8.68266935,321.4848485
48.48484848,1.378787879,5.83,8.98266935,8.98266935,321.4848485
48.48484848,1.444444444,6.13,9.28266935,9.28266935,321.4848485
48.48484848,1.51010101,6.43,9.58266935,9.58266935,321.4848485
48.48484848,1.575757576,6.72,9.87266935,9.87266935,321.4848485
48.48484848,1.641414141,7,10.15266935,10.15266935,321.4848485
48.48484848,1.707070707,7.27,10.42266935,10.42266935,321.4848485
48.48484848,1.772727273,7.53,10.68266935,10.68266935,321.4848485
48.48484848,1.838383838,7.78,10.93266935,10.93266935,321.4848485
48.48484848,1.904040404,8,11.15266935,11.15266935,321.4848485
48.48484848,1.96969697,8.2,11.35266935,11.35266935,321.4848485
48.48484848,2.035353535,8.38,11.53266935,11.53266935,321.4848485
48.48484848,2.101010101,8.52,11.67266935,11.67266935,321.4848485
48.48484848,2.166666667,8.63,11.78266935,11.78266935,321.4848485
48.48484848,2.232323232,8.69,11.84266935,11.84266935,321.4848485
48.48484848,2.297979798,8.7,11.85266935,11.85266935,321.4848485
48.48484848,2.363636364,8.66,11.81266935,11.81266935,321.4848485
48.48484848,2.429292929,8.55,11.70266935,11.70266935,321.4848485
48.48484848,2.494949495,8.36,11.51266935,11.51266935,321.4848485
48.48484848,2.560606061,8.09,11.24266935,11.24266935,321.4848485
48.48484848,2.626262626,7.73,10.88266935,10.88266935,321.4848485
48.48484848,2.691919192,7.25,10.40266935,10.40266935,321.4848485
48.48484848,2.757575758,6.65,9.80266935,9.80266935,321.4848485
48.48484848,2.823232323,5.9,9.05266935,9.05266935,321.4848485
48.48484848,2.888888889,5,8.15266935,8.15266935,321.4848485
48.48484848,2.954545455,3.91,7.06266935,7.06266935,321.4848485
48.48484848,3.02020202,2.62,5.77266935,5.77266935,321.4848485
48.48484848,3.085858586,1.1,4.25266935,4.25266935,321.4848485
48.48484848,3.151515152,-0.68,2.47266935,2.47266935,321.4848485
48.48484848,3.217171717,-2.75,0.40266935,0.40266935,321.4848485
48.48484848,3.282828283,-5.16,-2.00733065,-2.00733065,321.4848485
48.48484848,3.348484848,NaN,NaN,#VALUE!,321.4848485
48.48484848,3.414141414,NaN,NaN,#VALUE!,321.4848485
48.48484848,3.47979798,NaN,NaN,#VALUE!,321.4848485
48.48484848,3.545454545,NaN,NaN,#VALUE!,321.4848485
48.48484848,3.611111111,NaN,NaN,#VALUE!,321.4848485
48.48484848,3.676767677,NaN,NaN,#VALUE!,321.4848485
48.48484848,3.742424242,NaN,NaN,#VALUE!,321.4848485
48.48484848,3.808080808,NaN,NaN,#VALUE!,321.4848485
48.48484848,3.873737374,NaN,NaN,#VALUE!,321.4848485
48.48484848,3.939393939,NaN,NaN,#VALUE!,321.4848485
48.48484848,4.005050505,NaN,NaN,#VALUE!,321.4848485
48.48484848,4.070707071,NaN,NaN,#VALUE!,321.4848485
48.48484848,4.136363636,NaN,NaN,#VALUE!,321.4848485
48.48484848,4.202020202,NaN,NaN,#VALUE!,321.4848485
48.48484848,4.267676768,NaN,NaN,#VALUE!,321.4848485
48.48484848,4.333333333,NaN,NaN,#VALUE!,321.4848485
48.48484848,4.398989899,NaN,NaN,#VALUE!,321.4848485
48.48484848,4.464646465,NaN,NaN,#VALUE!,321.4848485
48.48484848,4.53030303,NaN,NaN,#VALUE!,321.4848485
48.48484848,4.595959596,NaN,NaN,#VALUE!,321.4848485
48.48484848,4.661616162,NaN,NaN,#VALUE!,321.4848485
48.48484848,4.727272727,NaN,NaN,#VALUE!,321.4848485
48.48484848,4.792929293,NaN,NaN,#VALUE!,321.4848485
48.48484848,4.858585859,NaN,NaN,#VALUE!,321.4848485
48.48484848,4.924242424,NaN,NaN,#VALUE!,321.4848485
48.48484848,4.98989899,NaN,NaN,#VALUE!,321.4848485
48.48484848,5.055555556,NaN,NaN,#VALUE!,321.4848485
48.48484848,5.121212121,NaN,NaN,#VALUE!,321.4848485
48.48484848,5.186868687,NaN,NaN,#VALUE!,321.4848485
48.48484848,5.252525253,NaN,NaN,#VALUE!,321.4848485
48.48484848,5.318181818,NaN,NaN,#VALUE!,321.4848485
48.48484848,5.383838384,NaN,NaN,#VALUE!,321.4848485
48.48484848,5.449494949,NaN,NaN,#VALUE!,321.4848485
48.48484848,5.515151515,NaN,NaN,#VALUE!,321.4848485
48.48484848,5.580808081,NaN,NaN,#VALUE!,321.4848485
48.48484848,5.646464646,NaN,NaN,#VALUE!,321.4848485
48.48484848,5.712121212,NaN,NaN,#VALUE!,321.4848485
48.48484848,5.777777778,NaN,NaN,#VALUE!,321.4848485
48.48484848,5.843434343,NaN,NaN,#VALUE!,321.4848485
48.48484848,5.909090909,NaN,NaN,#VALUE!,321.4848485
48.48484848,5.974747475,NaN,NaN,#VALUE!,321.4848485
48.48484848,6.04040404,NaN,NaN,#VALUE!,321.4848485
48.48484848,6.106060606,NaN,NaN,#VALUE!,321.4848485
48.48484848,6.171717172,NaN,NaN,#VALUE!,321.4848485
48.48484848,6.237373737,NaN,NaN,#VALUE!,321.4848485
48.48484848,6.303030303,NaN,NaN,#VALUE!,321.4848485
48.48484848,6.368686869,NaN,NaN,#VALUE!,321.4848485
48.48484848,6.434343434,NaN,NaN,#VALUE!,321.4848485
48.48484848,6.5,NaN,NaN,#VALUE!,321.4848485
47.97979798,0,0,3.005656707,3.005656707,320.979798
47.97979798,0.065656566,0.24,3.245656707,3.245656707,320.979798
47.97979798,0.131313131,0.47,3.475656707,3.475656707,320.979798
47.97979798,0.196969697,0.71,3.715656707,3.715656707,320.979798
47.97979798,0.262626263,0.96,3.965656707,3.965656707,320.979798
47.97979798,0.328282828,1.22,4.225656707,4.225656707,320.979798
47.97979798,0.393939394,1.48,4.485656707,4.485656707,320.979798
47.97979798,0.45959596,1.75,4.755656707,4.755656707,320.979798
47.97979798,0.525252525,2.02,5.025656707,5.025656707,320.979798
47.97979798,0.590909091,2.3,5.305656707,5.305656707,320.979798
47.97979798,0.656565657,2.57,5.575656707,5.575656707,320.979798
47.97979798,0.722222222,2.85,5.855656707,5.855656707,320.979798
47.97979798,0.787878788,3.14,6.145656707,6.145656707,320.979798
47.97979798,0.853535354,3.43,6.435656707,6.435656707,320.979798
47.97979798,0.919191919,3.72,6.725656707,6.725656707,320.979798
47.97979798,0.984848485,4.02,7.025656707,7.025656707,320.979798
47.97979798,1.050505051,4.31,7.315656707,7.315656707,320.979798
47.97979798,1.116161616,4.61,7.615656707,7.615656707,320.979798
47.97979798,1.181818182,4.92,7.925656707,7.925656707,320.979798
47.97979798,1.247474747,5.22,8.225656707,8.225656707,320.979798
47.97979798,1.313131313,5.52,8.525656707,8.525656707,320.979798
47.97979798,1.378787879,5.82,8.825656707,8.825656707,320.979798
47.97979798,1.444444444,6.12,9.125656707,9.125656707,320.979798
47.97979798,1.51010101,6.42,9.425656707,9.425656707,320.979798
47.97979798,1.575757576,6.71,9.715656707,9.715656707,320.979798
47.97979798,1.641414141,6.99,9.995656707,9.995656707,320.979798
47.97979798,1.707070707,7.26,10.26565671,10.26565671,320.979798
47.97979798,1.772727273,7.52,10.52565671,10.52565671,320.979798
47.97979798,1.838383838,7.76,10.76565671,10.76565671,320.979798
47.97979798,1.904040404,7.98,10.98565671,10.98565671,320.979798
47.97979798,1.96969697,8.18,11.18565671,11.18565671,320.979798
47.97979798,2.035353535,8.36,11.36565671,11.36565671,320.979798
47.97979798,2.101010101,8.5,11.50565671,11.50565671,320.979798
47.97979798,2.166666667,8.6,11.60565671,11.60565671,320.979798
47.97979798,2.232323232,8.66,11.66565671,11.66565671,320.979798
47.97979798,2.297979798,8.67,11.67565671,11.67565671,320.979798
47.97979798,2.363636364,8.62,11.62565671,11.62565671,320.979798
47.97979798,2.429292929,8.5,11.50565671,11.50565671,320.979798
47.97979798,2.494949495,8.31,11.31565671,11.31565671,320.979798
47.97979798,2.560606061,8.03,11.03565671,11.03565671,320.979798
47.97979798,2.626262626,7.65,10.65565671,10.65565671,320.979798
47.97979798,2.691919192,7.16,10.16565671,10.16565671,320.979798
47.97979798,2.757575758,6.55,9.555656707,9.555656707,320.979798
47.97979798,2.823232323,5.78,8.785656707,8.785656707,320.979798
47.97979798,2.888888889,4.86,7.865656707,7.865656707,320.979798
47.97979798,2.954545455,3.75,6.755656707,6.755656707,320.979798
47.97979798,3.02020202,2.43,5.435656707,5.435656707,320.979798
