T,T_k,M,LW,LW_h,LW_t
48.98989899,322.139899,0.065656566,0.23,3.348320563,3.574712187
48.98989899,322.139899,0.131313131,0.47,3.348320563,3.816814124
48.98989899,322.139899,0.196969697,0.73,3.348320563,4.08165654
48.98989899,322.139899,0.262626263,1.02,3.348320563,4.366640229
48.98989899,322.139899,0.328282828,1.32,3.348320563,4.669039245
48.98989899,322.139899,0.393939394,1.64,3.348320563,4.986420228
48.98989899,322.139899,0.45959596,1.97,3.348320563,5.316626727
48.98989899,322.139899,0.525252525,2.31,3.348320563,5.657746258
48.98989899,322.139899,0.590909091,2.66,3.348320563,6.008081224
48.98989899,322.139899,0.656565657,3.02,3.348320563,6.36609166
48.98989899,322.139899,0.722222222,3.38,3.348320563,6.730372913
48.98989899,322.139899,0.787878788,3.75,3.348320563,7.0996453
48.98989899,322.139899,0.853535354,4.12,3.348320563,7.47271259
48.98989899,322.139899,0.919191919,4.50,3.348320563,7.848456889
48.98989899,322.139899,0.984848485,4.88,3.348320563,8.225835231
48.98989899,322.139899,1.050505051,5.26,3.348320563,8.603840895
48.98989899,322.139899,1.116161616,5.63,3.348320563,8.981518125
48.98989899,322.139899,1.181818182,6.01,3.348320563,9.359195355
48.98989899,322.139899,1.247474747,6.39,3.348320563,9.736872585
48.98989899,322.139899,1.313131313,6.77,3.348320563,10.11454982
48.98989899,322.139899,1.378787879,7.14,3.348320563,10.49222705
48.98989899,322.139899,1.444444444,7.48,3.348320563,10.83318991
48.98989899,322.139899,1.51010101,7.84,3.348320563,11.18995231
48.98989899,322.139899,1.575757576,8.19,3.348320563,11.54009432
48.98989899,322.139899,1.641414141,8.53,3.348320563,11.88267822
48.98989899,322.139899,1.707070707,8.87,3.348320563,12.21673494
48.98989899,322.139899,1.772727273,9.19,3.348320563,12.54125476
48.98989899,322.139899,1.838383838,9.51,3.348320563,12.85516658
48.98989899,322.139899,1.904040404,9.81,3.348320563,13.15735298
48.98989899,322.139899,1.96969697,10.10,3.348320563,13.44661091
48.98989899,322.139899,2.035353535,10.37,3.348320563,13.72165851
48.98989899,322.139899,2.101010101,10.63,3.348320563,13.98111007
48.98989899,322.139899,2.166666667,10.88,3.348320563,14.22347558
48.98989899,322.139899,2.232323232,11.10,3.348320563,14.44712527
48.98989899,322.139899,2.297979798,11.30,3.348320563,14.65028752
48.98989899,322.139899,2.363636364,11.48,3.348320563,14.83101735
48.98989899,322.139899,2.429292929,11.64,3.348320563,14.98717324
48.98989899,322.139899,2.494949495,11.77,3.348320563,15.11640073
48.98989899,322.139899,2.560606061,11.87,3.348320563,15.21608072
48.98989899,322.139899,2.626262626,11.93,3.348320563,15.28331329
48.98989899,322.139899,2.691919192,11.97,3.348320563,15.31486523
48.98989899,322.139899,2.757575758,11.96,3.348320563,15.3071231
48.98989899,322.139899,2.823232323,11.91,3.348320563,15.25603605
48.98989899,322.139899,2.888888889,11.81,3.348320563,15.15705847
48.98989899,322.139899,2.954545455,11.66,3.348320563,15.00506067
48.98989899,322.139899,3.02020202,11.45,3.348320563,14.79424894
48.98989899,322.139899,3.085858586,11.17,3.348320563,14.51805469
48.98989899,322.139899,3.151515152,10.82,3.348320563,14.16901211
48.98989899,322.139899,3.217171717,10.39,3.348320563,13.73859732
48.98989899,322.139899,3.282828283,9.87,3.348320563,13.21708278
48.98989899,322.139899,3.348484848,9.24,3.348320563,12.59325477
48.98989899,322.139899,3.414141414,8.51,3.348320563,11.85423386
48.98989899,322.139899,3.47979798,7.64,3.348320563,10.98511896
48.98989899,322.139899,3.545454545,6.62,3.348320563,9.968592703
48.98989899,322.139899,3.611111111,5.44,3.348320563,8.784468237
48.98989899,322.139899,3.676767677,4.06,3.348320563,7.409111485
48.98989899,322.139899,3.742424242,2.47,3.348320563,5.814694622
48.98989899,322.139899,3.808080808,0.62,3.348320563,3.968298896
48.98989899,322.139899,3.873737374,-1.52,3.348320563,1.830755665
48.98989899,322.139899,3.939393939,-3.99,3.348320563,-0.644829971
48.98989899,322.139899,4.005050505,-6.86,3.348320563,-3.514983665
48.98989899,322.139899,4.070707071,-10.20,3.348320563,-6.848345771
48.98989899,322.139899,4.136363636,-14.08,3.348320563,-10.72897701
