T,M,LW,LW_t,LW_h,T_k
49.49494949,5.252525253,15.37,18.82671191,18.82671191,322.4949495
49.49494949,5.318181818,15.1,18.55671191,18.55671191,322.4949495
49.49494949,5.383838384,14.8,18.25671191,18.25671191,322.4949495
49.49494949,5.449494949,14.48,17.93671191,17.93671191,322.4949495
49.49494949,5.515151515,14.13,17.58671191,17.58671191,322.4949495
49.49494949,5.580808081,13.75,17.20671191,17.20671191,322.4949495
49.49494949,5.646464646,13.34,16.79671191,16.79671191,322.4949495
49.49494949,5.712121212,12.9,16.35671191,16.35671191,322.4949495
49.49494949,5.777777778,12.43,15.88671191,15.88671191,322.4949495
49.49494949,5.843434343,NaN,NaN,#VALUE!,322.4949495
49.49494949,5.909090909,NaN,NaN,#VALUE!,322.4949495
49.49494949,5.974747475,NaN,NaN,#VALUE!,322.4949495
49.49494949,6.04040404,NaN,NaN,#VALUE!,322.4949495
49.49494949,6.106060606,NaN,NaN,#VALUE!,322.4949495
49.49494949,6.171717172,NaN,NaN,#VALUE!,322.4949495
49.49494949,6.237373737,NaN,NaN,#VALUE!,322.4949495
49.49494949,6.303030303,NaN,NaN,#VALUE!,322.4949495
49.49494949,6.368686869,NaN,NaN,#VALUE!,322.4949495
49.49494949,6.434343434,NaN,NaN,#VALUE!,322.4949495
49.49494949,6.5,NaN,NaN,#VALUE!,322.4949495
48.98989899,0,0,3.303022889,3.303022889,321.989899
48.98989899,0.065656566,0.33,3.633022889,3.633022889,321.989899
48.98989899,0.131313131,0.66,3.963022889,3.963022889,321.989899
48.98989899,0.196969697,1,4.303022889,4.303022889,321.989899
48.98989899,0.262626263,1.33,4.633022889,4.633022889,321.989899
48.98989899,0.328282828,1.67,4.973022889,4.973022889,321.989899
48.98989899,0.393939394,2,5.303022889,5.303022889,321.989899
48.98989899,0.45959596,2.34,5.643022889,5.643022889,321.989899
48.98989899,0.525252525,2.68,5.983022889,5.983022889,321.989899
48.98989899,0.590909091,3.02,6.323022889,6.323022889,321.989899
48.98989899,0.656565657,3.36,6.663022889,6.663022889,321.989899
48.98989899,0.722222222,3.7,7.003022889,7.003022889,321.989899
48.98989899,0.787878788,4.04,7.343022889,7.343022889,321.989899
48.98989899,0.853535354,4.38,7.683022889,7.683022889,321.989899
48.98989899,0.919191919,4.72,8.023022889,8.023022889,321.989899
48.98989899,0.984848485,5.05,8.353022889,8.353022889,321.989899
48.98989899,1.050505051,5.39,8.693022889,8.693022889,321.989899
48.98989899,1.116161616,5.73,9.033022889,9.033022889,321.989899
48.98989899,1.181818182,6.06,9.363022889,9.363022889,321.989899
48.98989899,1.247474747,6.39,9.693022889,9.693022889,321.989899
48.98989899,1.313131313,6.72,10.02302289,10.02302289,321.989899
48.98989899,1.378787879,7.05,10.35302289,10.35302289,321.989899
48.98989899,1.444444444,7.38,10.68302289,10.68302289,321.989899
48.98989899,1.51010101,7.7,11.00302289,11.00302289,321.989899
48.98989899,1.575757576,8.02,11.32302289,11.32302289,321.989899
48.98989899,1.641414141,8.34,11.64302289,11.64302289,321.989899
48.98989899,1.707070707,8.66,11.96302289,11.96302289,321.989899
48.98989899,1.772727273,8.98,12.28302289,12.28302289,321.989899
48.98989899,1.838383838,9.29,12.59302289,12.59302289,321.989899
48.98989899,1.904040404,9.6,12.90302289,12.90302289,321.989899
48.98989899,1.96969697,9.9,13.20302289,13.20302289,321.989899
48.98989899,2.035353535,10.2,13.50302289,13.50302289,321.989899
48.98989899,2.101010101,10.5,13.80302289,13.80302289,321.989899
48.98989899,2.166666667,10.79,14.09302289,14.09302289,321.989899
48.98989899,2.232323232,11.08,14.38302289,14.38302289,321.989899
48.98989899,2.297979798,11.37,14.67302289,14.67302289,321.989899
48.98989899,2.363636364,11.65,14.95302289,14.95302289,321.989899
48.98989899,2.429292929,11.93,15.23302289,15.23302289,321.989899
48.98989899,2.494949495,12.2,15.50302289,15.50302289,321.989899
48.98989899,2.560606061,12.47,15.77302289,15.77302289,321.989899
48.98989899,2.626262626,12.73,16.03302289,16.03302289,321.989899
48.98989899,2.691919192,12.99,16.29302289,16.29302289,321.989899
48.98989899,2.757575758,13.24,16.54302289,16.54302289,321.989899
48.98989899,2.823232323,13.49,16.79302289,16.79302289,321.989899
48.98989899,2.888888889,13.73,17.03302289,17.03302289,321.989899
